160.2	0.55	3.41	0.032	438	1.25	3.003	0.030
316.5	0.94	3.18	0.031	560	1.55	2.821	0.029
451.2	1.3	2.98	0.030	666	1.8	2.662	0.028
601.5	1.7	2.75	0.029	786	2.1	2.482	0.027
1004	4.0	2.14	0.026	1120	4.3	1.982	0.025
1453	5.1	1.47	0.022	1517	5.3	1.387	0.022
1693	5.7	1.11	0.021	1726	5.8	1.074	0.020
1866	6.2	0.85	0.019	1886	6.2	0.834	0.019
2134	6.8	0.45	0.017	2141	6.9	0.4544	0.017
2287	7.2	0.22	0.016	2289	7.2	0.2314	0.016
2439	7.6	0.0023	0.0015	2441	7.6	0.0024	0.0015
2441	7.6	0.0001	0.0015	2441	7.6	0.0001	0.0015
