R (?) -C=100	uR (?) - C=100	Amp (mV)	uAmp (mV)	Pico (mV)	uPico (mV)	R (?) - C=1000	uR (?) - C=1000	Amp (mV)	uAmp (mV)	Pico (mV)	uPico (mV)								
220	11	13.3	0.50	7.68	5.3	220	11.0	1.7	0.15	0.96	5.2								
10000000	500000	0.0012	0.10	0.00088	5.2	10000000	500000.0	0.00128	0.10	0.00144	5.2								
1000000	50000	0.00656	0.10	0.00416	5.2	1000000	50000.0	0.00104	0.10	0.00112	5.2								
1000	50	4.96	0.25	2.92	5.2	1000	50.0	0.436	0.11	0.248	5.2								
10000	500	0.564	0.12	0.332	5.2	10000	500.0	0.0488	0.10	0.0292	5.2								
4700	235	1.19	0.14	0.704	5.2	4700	235.0	0.102	0.10	0.0592	5.2								
150	7.5	15.8	0.57	9.4	5.3	150	7.5	2.12	0.16	1.22	5.2								
2200	110	2.5	0.18	1.48	5.2	2200	110.0	0.208	0.11	0.122	5.2								
1500	75	3.52	0.21	2.08	5.2	1500	75.0	0.282	0.11	0.166	5.2								
470	23.5	8.64	0.36	5.04	5.3	470	23.5	0.872	0.13	0.496	5.2								
																			
																			
																			
																			
