R (?) -C=100		Amp (V)		Pico		R (?) - C=1000		Amp (V)		Pico	
220	11	13,3	5,333	7,68	5,2768	220	11	1,7	5,217	0,96	5,2096
10000000	500000	0,0012	5,200012	0,00088	5,2000088	10000000	500000	0,00128	5,2000128	0,00144	5,2000144
1000000	50000	0,00656	5,2000656	0,00416	5,2000416	1000000	50000	0,00104	5,2000104	0,00112	5,2000112
1000	50	4,96	5,2496	2,92	5,2292	1000	50	0,436	5,20436	0,248	5,20248
10000	500	0,564	5,20564	0,332	5,20332	10000	500	0,0488	5,200488	0,0292	5,200292
4700	235	1,19	5,2119	0,704	5,20704	4700	235	0,102	5,20102	0,0592	5,200592
150	7,5	15,8	5,358	9,4	5,294	150	7,5	2,12	5,2212	1,22	5,2122
2200	110	2,5	5,225	1,48	5,2148	2200	110	0,208	5,20208	0,122	5,20122
1500	75	3,52	5,2352	2,08	5,2208	1500	75	0,282	5,20282	0,166	5,20166
470	23,5	8,64	5,2864	5,04	5,2504	470	23,5	0,872	5,20872	0,496	5,20496
