1000000	50000	0.72	5.2072	0.72	5.2072	0.25	0.033	0	0.030	1000000	50000								
10000	500	0.72	5.2072	0.72	5.2072	0.24	0.033	0.51	0.035	10000	500	0.24	5.2024	0.4	5.204	0.24	0.033	0.51	0.035
4700	235	0.8	5.208	0.72	5.2072	0.25	0.033	1.11	0.041	4700	235	0.4	5.204	0.4	5.204	0.24	0.033	1.11	0.041
2200	110	0.88	5.2088	0.8	5.208	0.24	0.033	2.37	0.054	2200	110	0.4	5.204	0.48	5.2048	0.24	0.033	2.38	0.054
1500	75	0.96	5.2096	0.96	5.2096	0.25	0.033	3.39	0.064	1500	75								
1000	50	1.04	5.2104	0.8	5.208	0.24	0.033	5.16	0.082	1000	50								
470	23.5	1.12	5.2112	0.8	5.208	0.24	0.033	11.02	0.140	470	23.5	0.4	5.204	0.48	5.2048	0.24	0.033	11.02	0.140
220	11	1.28	5.2128	0.96	5.2096	0.24	0.033	23.68	0.267	220	11	0.56	5.2056	0.56	5.2056	0.24	0.033	23.65	0.267
150	7.5	1.36	5.2136	1.04	5.2104	0.24	0.033	33.99	0.370	150	7.5								
100	5	1.68	5.2168	1.76	5.2176	0.3	0.034	52.02	0.550	100	5	0.64	5.2064	0.56	5.2056	0.25	0.033	51.94	0.549
47	2.35	4560	270.6	1600	161	36.5	0.468	83.5	0.865	47	2.35	1.12	5.2112	0.72	5.2072	0.23	0.033	1.12	0.041
62	3.1	3600	211	920	144.2	18.07	0.247	71.6	0.746	62	3.1	0.8	5.208	0.64	5.2064	0.24	0.033	81.8	0.848
39	1.95	5120	276.2	2080	165.8	49.7	0.626	89.5	0.925	39	1.95	1.28	5.2128	0.8	5.208	0.23	0.033	131.8	1.348
68	3.4	0.64	5.0264	0.72	5.0272	0.24	0.033	0	0.030	68	3.4								
74	3.7	0.8	5.028	0.72	5.0272	0.23	0.033	0	0.030	74	3.7								
