R (?) - C=100	uR (?) - C=100	Amp (mV)	uAmp (mV)	Pico (mV)	uPico (mV)	IAC(mA)	uIAC(mA)	IDC(mA)	uIDC(mA)	R (?) - C=1000	uR (?) - C=1000	Amp (mV)	uAmp (mV)	Pico (mV)	uPico (mV)	IAC(mA)	uIAC(mA)	IDC(mA)	uIDC(mA)
1000000	50000	0.72	0.1216	0.72	1.2216	0.25	0.033	0	0.03	1000000	50000								
10000	500	0.72	0.1216	0.72	1.2216	0.24	0.03288	0.51	0.0351	10000	500	0.24	0.1072	0.4	1.212	0.24	0.03288	0.51	0.0351
4700	235	0.8	0.124	0.72	1.2216	0.25	0.033	1.11	0.0411	4700	235	0.4	0.112	0.4	1.212	0.24	0.03288	1.11	0.0411
2200	110	0.88	0.1264	0.8	1.224	0.24	0.03288	2.37	0.0537	2200	110	0.4	0.112	0.48	1.2144	0.24	0.03288	2.38	0.0538
1500	75	0.96	0.1288	0.96	1.2288	0.25	0.033	3.39	0.0639	1500	75								
1000	50	1.04	0.1312	0.8	1.224	0.24	0.03288	5.16	0.0816	1000	50								
470	23.5	1.12	0.1336	0.8	1.224	0.24	0.03288	11.02	0.1402	470	23.5	0.4	0.112	0.48	1.2144	0.24	0.03288	11.02	0.1402
220	11	1.28	0.1384	0.96	1.2288	0.24	0.03288	23.68	0.2668	220	11	0.56	0.1168	0.56	1.2168	0.24	0.03288	23.65	0.2665
150	7.5	1.36	0.1408	1.04	1.2312	0.24	0.03288	33.99	0.3699	150	7.5								
100	5	1.68	0.1504	1.76	1.2528	0.3	0.0336	52.02	0.5502	100	5	0.64	0.1192	0.56	1.2168	0.25	0.033	51.94	0.5494
47	2.35	4560	136.9	1600	49.2	36.5	0.468	83.5	0.865	47	2.35	1.12	0.1336	0.72	1.2216	0.23	0.03276	1.12	0.0412
62	3.1	3600	108.1	920	28.8	18.07	0.24684	71.6	0.746	62	3.1	0.8	0.124	0.64	1.2192	0.24	0.03288	81.8	0.848
39	1.95	5120	153.7	2080	63.6	49.7	0.6264	89.5	0.925	39	1.95	1.28	0.1384	0.8	1.224	0.23	0.03276	131.8	1.348
68	3.4	0.64	0.1192	0.72	1.2216	0.24	0.03288	0	0.03	68	3.4								
74	3.7	0.8	0.124	0.72	1.2216	0.23	0.03276	0	0.03	74	3.7								
