f Hz	Vin V	Vout V	G	phi
100	2,02	0,134	0,066336634	96,5
100000	1,94	2,44	1,257731959	-78,5
50000	1,92	4,8	2,5	-87,3
25000	1,86	10,6	5,698924731	-77,4
75000	1,92	3,22	1,677083333	-89,4
12000	1,78	14,4	8,08988764	92,9
500	2,02	0,624	0,308910891	93,2
1000	2,02	1,2	0,594059406	93,6
800	2,02	0,984	0,487128713	92,7
2000	2,02	2,38	1,178217822	93,6
3000	2	3,44	1,72	93,5
5000	1,98	5,76	2,909090909	93,6
7500	1,92	8,56	4,458333333	100
9000	1,9	10,2	5,368421053	95,4
9500	1,88	10,7	5,691489362	101
9700	1,88	10,9	5,79787234	105
40000	1,92	6,08	3,166666667	-88,7
30000	1,86	8,48	4,559139785	-82,6
60000	1,9	4	2,105263158	-90,6
17000	1,7	15,8	9,294117647	-93,5
20000	1,76	13,2	7,5	-86,6
18000	1,76	14,6	8,295454545	-85,3
22000	1,84	12,2	6,630434783	-96,7
90000	1,94	2,7	1,391752577	-81,1
			#DIV/0!	
