f	Vin	uVin	Vout	uVout	G	uG
100	2.02	0.0856	0.134	0.00652	0.066336634	0.004280241
100000	1.94	0.0682	2.44	0.0982	1.257731959	0.067210226
50000	1.92	0.0676	4.8	0.194	2.5	0.13400405
25000	1.86	0.0658	10.6	0.418	5.698924731	0.301909815
75000	1.92	0.0676	3.22	0.1216	1.677083333	0.086589236
12000	1.78	0.0634	14.4	0.532	8.08988764	0.415156474
500	2.02	0.0856	0.624	0.02372	0.308910891	0.01758547
1000	2.02	0.0856	1.2	0.046	0.594059406	0.033945648
800	2.02	0.0856	0.984	0.03952	0.487128713	0.028440893
2000	2.02	0.0856	2.38	0.0964	1.178217822	0.069067445
3000	2	0.085	3.44	0.1282	1.72	0.097223557
5000	1.98	0.0694	5.76	0.2228	2.909090909	0.151851293
7500	1.92	0.0676	8.56	0.3568	4.458333333	0.243256575
9000	1.9	0.067	10.2	0.406	5.368421053	0.285479007
9500	1.88	0.0664	10.7	0.421	5.691489362	0.300925024
9700	1.88	0.0664	10.9	0.427	5.79787234	0.305810644
40000	1.92	0.0676	6.08	0.2324	3.166666667	0.164565447
30000	1.86	0.0658	8.48	0.3544	4.559139785	0.249635067
60000	1.9	0.067	4	0.145	2.105263158	0.106467902
17000	1.7	0.061	15.8	0.724	9.294117647	0.540920111
20000	1.76	0.0628	13.2	0.646	7.5	0.454245995
18000	1.76	0.0628	14.6	0.688	8.295454545	0.490330585
22000	1.84	0.0652	12.2	0.616	6.630434783	0.408998735
90000	1.94	0.0682	2.7	0.106	1.391752577	0.073343355
