f Hz	Vin V	uVin	Vout V	uVout	G	uG	phi
100	2	0.085	18.8	0.814	9.4	0.570306277	180
100000	2.2	0.091	2.6	0.103	1.181818182	0.067687641	-91.8
50000	2	0.085	5.24	0.2072	2.62	0.152091362	-99
25000	2	0.085	10.2	0.406	5.1	0.296967275	-120
35000	2	0.085	7.36	0.2708	3.68	0.206867397	-106
80000	2	0.085	3.24	0.1222	1.62	0.092051792	-101
65000	2	0.085	3.96	0.1438	1.98	0.110683479	-98.2
1000	1.92	0.0676	19	0.82	9.895833333	0.551174875	-177
10000	1.92	0.0676	18.6	0.808	9.6875	0.541698032	-166
15000	1.92	0.0676	16.4	0.742	8.541666667	0.489686937	-144
20000	2	0.085	12.8	0.484	6.4	0.364071422	-130
120000	2	0.085	2.08	0.0874	1.04	0.062155692	-99.5
30000	2	0.085	8.62	0.3586	4.31	0.256323176	-112
18000	2	0.085	14	0.52	7	0.395102835	-33
16000	1.96	0.0688	15.6	0.568	7.959183673	0.402538029	-141
40000	2.02	0.0856	6.2	0.236	3.069306931	0.174833416	-108
22000	2	0.085	11.7	0.451	5.85	0.335655539	-25
13000	1.96	0.0688	17.8	0.784	9.081632653	0.511491092	-156
90000	2	0.085	2.88	0.1114	1.44	0.082752221	-91.5
5000	1.92	0.0676	19.2	0.826	10	0.555915357	-174
