f Hz	Vin V	uVin	Vout V	uVout	G	uG
100	0.2	0.031	20.6	0.868	103	16.54438953
100000	0.204	0.03112	1.38	0.0514	6.764705882	1.062263382
50000	0.204	0.03112	2.76	0.1078	13.52941176	2.13047336
25000	0.2	0.031	5.28	0.2084	26.4	4.222585464
75000	0.202	0.03106	1.82	0.0796	9.00990099	1.440337131
10000	0.202	0.03106	11.8	0.454	58.41584158	9.259078833
15000	0.202	0.03106	8.48	0.3544	41.98019802	6.689156613
40000	0.202	0.03106	3.44	0.1282	17.02970297	2.694340696
60000	0.202	0.03106	2.32	0.0946	11.48514851	1.827024679
1000	0.2	0.031	20.6	0.868	103	16.54438953
5000	0.204	0.03112	17.2	0.766	84.31372549	13.39887008
7000	0.2	0.031	14.8	0.544	74	11.78809993
20000	0.2	0.031	6.6	0.248	33	5.263157322
13000	0.2	0.031	9.6	0.338	48	7.629528164
30000	0.2	0.031	4.48	0.1844	22.4	3.592334617
90000	0.202	0.03106	1.52	0.0556	7.524752475	1.189312962
