-0.56	0.24	Rc	Rb
-0.56	0.24	1500	1000000
-0.64	0.24		
-0.64	0.28		
-0.72	0.28		
-0.72	0.28		
-0.8	0.36		
-0.88	0.36		
-0.96	0.36		
-0.88	0.4		
-0.96	0.4		
-1.04	0.4		
-1.04	0.44		
-1.12	0.44		
-1.12	0.48		
-1.2	0.48		
-1.2	0.48		
-1.28	0.52		
-1.28	0.52		
-1.36	0.56		
-1.36	0.56		
-1.44	0.56		
-1.44	0.6		
-1.52	0.64		
-1.52	0.64		
-1.52	0.68		
-1.6	0.68		
-1.68	0.68		
-1.68	0.72		
-1.68	0.72		
-1.76	0.72		
-1.84	0.76		
-1.92	0.76		
-1.92	0.76		
-1.92	0.8		
-2	0.84		
-2.08	0.84		
-2.08	0.88		
-2.08	0.88		
-2.16	0.88		
-2.24	0.88		
-2.24	0.92		
-2.24	0.92		
-2.32	0.96		
-2.32	0.96		
-2.4	1		
-2.48	1		
-2.48	1		
-2.48	1.04		
-2.56	1.04		
-2.56	1.08		
-2.64	1.08		
-2.64	1.12		
-2.64	1.12		
-2.8	1.16		
-2.8	1.16		
-2.8	1.16		
-2.88	1.2		
-2.88	1.2		
-2.88	1.24		
-2.96	1.24		
-3.04	1.24		
-3.04	1.28		
-3.12	1.28		
-3.12	1.28		
-3.2	1.32		
-3.2	1.36		
-3.28	1.32		
-3.28	1.36		
-3.36	1.36		
-3.36	1.36		
-3.44	1.4		
-3.52	1.44		
-3.52	1.44		
-3.52	1.48		
-3.6	1.48		
-3.6	1.52		
-3.68	1.52		
-3.68	1.52		
-3.68	1.52		
-3.76	1.56		
-3.84	1.6		
-3.76	1.6		
-3.84	1.64		
-3.92	1.6		
-3.92	1.64		
-4	1.64		
-4.08	1.64		
-4.08	1.68		
-4.08	1.72		
-4.16	1.72		
-4.16	1.72		
-4.24	1.76		
-4.24	1.76		
-4.32	1.8		
-4.32	1.8		
-4.4	1.8		
-4.4	1.84		
-4.48	1.84		
-4.56	1.84		
-4.56	1.84		
-4.64	1.84		
-4.64	1.88		
-4.72	1.88		
-4.72	1.88		
-4.72	1.88		
-4.72	1.88		
-4.8	1.88		
-4.88	1.84		
-4.96	1.88		
-4.96	1.88		
-4.96	1.88		
-5.04	1.88		
-5.04	1.88		
-4.88	1.88		
-4.88	1.88		
-4.88	1.88		
-4.8	1.88		
-4.8	1.88		
-4.72	1.88		
-4.72	1.88		
-4.64	1.88		
-4.64	1.92		
-4.56	1.88		
-4.56	1.88		
-4.56	1.88		
-4.48	1.88		
-4.4	1.88		
-4.4	1.88		
-4.32	1.88		
-4.32	1.88		
-4.24	1.88		
-4.24	1.88		
-4.16	1.88		
-4.16	1.88		
-4.08	1.84		
-4.08	1.84		
-4	1.8		
-3.92	1.76		
-3.92	1.72		
-3.84	1.72		
-3.84	1.64		
-3.76	1.64		
-3.76	1.6		
-3.76	1.6		
-3.68	1.6		
-3.68	1.6		
-3.6	1.56		
-3.6	1.52		
-3.52	1.52		
-3.52	1.48		
-3.44	1.48		
-3.44	1.48		
-3.36	1.44		
-3.36	1.44		
-3.28	1.4		
-3.28	1.4		
-3.2	1.36		
-3.2	1.36		
-3.12	1.32		
-3.12	1.32		
-3.04	1.28		
-3.04	1.28		
-3.04	1.28		
-2.88	1.28		
-2.88	1.24		
-2.88	1.24		
-2.8	1.2		
-2.72	1.2		
-2.72	1.2		
-2.72	1.16		
-2.64	1.16		
-2.64	1.12		
-2.56	1.12		
-2.56	1.08		
-2.48	1.08		
-2.48	1.04		
-2.4	1.04		
-2.4	1		
-2.32	1		
-2.24	1		
-2.24	0.96		
-2.16	0.96		
-2.16	0.92		
-2.16	0.92		
-2.08	0.88		
-2	0.92		
-2	0.88		
-2	0.84		
-1.92	0.84		
-1.92	0.84		
-1.84	0.8		
-1.84	0.76		
-1.76	0.76		
-1.68	0.72		
-1.68	0.76		
-1.68	0.72		
-1.6	0.72		
-1.52	0.68		
-1.52	0.68		
-1.44	0.64		
-1.36	0.64		
-1.36	0.6		
-1.36	0.6		
-1.36	0.6		
-1.28	0.56		
-1.28	0.56		
-1.2	0.52		
-1.12	0.52		
-1.12	0.52		
-1.04	0.48		
-1.04	0.48		
-0.96	0.44		
-0.96	0.44		
-0.88	0.4		
-0.88	0.4		
-0.8	0.36		
-0.8	0.36		
-0.72	0.36		
-0.72	0.32		
-0.64	0.32		
-0.64	0.28		
-0.56	0.28		
-0.48	0.24		
-0.48	0.24		
-0.48	0.2		
-0.4	0.2		
-0.4	0.16		
-0.32	0.16		
-0.32	0.16		
-0.24	0.12		
-0.16	0.12		
-0.16	0.08		
-0.08	0.08		
-0.08	0.08		
0	0.04		
0	0.04		
0.08	0		
0.08	0		
0.16	0		
0.16	-0.04		
0.24	-0.04		
0.24	-0.08		
0.32	-0.08		
0.32	-0.08		
0.4	-0.12		
0.4	-0.12		
0.48	-0.16		
0.48	-0.16		
0.56	-0.2		
0.56	-0.2		
0.64	-0.24		
0.72	-0.24		
0.72	-0.24		
0.72	-0.28		
0.72	-0.28		
0.8	-0.32		
0.8	-0.32		
0.88	-0.32		
0.88	-0.36		
0.96	-0.36		
1.04	-0.36		
1.04	-0.44		
1.04	-0.44		
1.12	-0.44		
1.2	-0.44		
1.2	-0.48		
1.2	-0.52		
1.36	-0.52		
1.36	-0.52		
1.44	-0.56		
1.44	-0.56		
1.52	-0.56		
1.52	-0.6		
1.52	-0.6		
1.6	-0.64		
1.6	-0.64		
1.68	-0.68		
1.68	-0.68		
1.76	-0.72		
1.76	-0.72		
1.84	-0.76		
1.84	-0.76		
1.84	-0.76		
1.92	-0.76		
2	-0.8		
2	-0.8		
2.08	-0.8		
2.08	-0.84		
2.16	-0.84		
2.16	-0.88		
2.24	-0.92		
2.24	-0.92		
2.32	-0.92		
2.32	-0.96		
2.32	-0.96		
2.48	-0.96		
2.48	-1		
2.56	-1		
2.64	-1.04		
2.56	-1.04		
2.56	-1.08		
2.64	-1.12		
2.72	-1.12		
2.72	-1.12		
2.72	-1.16		
2.8	-1.16		
2.8	-1.16		
2.88	-1.2		
2.88	-1.2		
2.96	-1.2		
3.04	-1.24		
3.04	-1.28		
3.12	-1.28		
3.12	-1.28		
3.12	-1.32		
3.2	-1.32		
3.28	-1.32		
3.28	-1.36		
3.28	-1.36		
3.36	-1.36		
3.44	-1.4		
3.44	-1.44		
3.52	-1.44		
3.52	-1.44		
3.52	-1.44		
3.68	-1.48		
3.68	-1.48		
3.68	-1.52		
3.68	-1.52		
3.76	-1.56		
3.84	-1.56		
3.92	-1.56		
3.92	-1.56		
3.92	-1.6		
4	-1.64		
4	-1.64		
4.08	-1.64		
4.16	-1.68		
4.16	-1.68		
4.24	-1.72		
4.24	-1.72		
4.24	-1.72		
4.32	-1.76		
4.32	-1.76		
4.4	-1.76		
4.4	-1.8		
4.48	-1.8		
