1.06	629	1	1.06	1244	1	1.064	456	1	1.058	1040	1
12.944	1920	2	22	1984	2	18	1392	2	8.06	3158	2
0.002	3213	3	0.002	2743	3	0.002	2325	3	0.002	5151	3
0.002	4520	4	0.1	3498	4	0.1	3262	4	0.002	7198	4
	5813	5		4267	5		4211	5		9350	5
	7123	6		5033	6		5132	6		11478	6
	8432	7		5787	7		6089	7		13534	7
	9743	8		6555	8		7035	8		15663	8
	11028	9		7323	9		7978	9		17728	9
	12316	10		8075	10		8896	10		19304	10
	13654	11		8851	11		9877	11			
	14942	12		9627	12		10827	12			
	16323	13		10399	13		11780	13			
	17617	14		11142	14		12738	14			
	18943	15		11936	15		13691	15			
	20199	16		12687	16		14644	16			
				13481	17		15679	17			
							16527	18			
							17453	19			
							18397	20			
